Комментарий;НА ПЕРЕВОД;RU: русский;EN: английский;PL: польский;KZ: казахский (коррект);DE: немецкий;FR: французский;ES: испанский;IT: итальянский;BY: белорусский;UA: украинский;NL: голландский/нидерландский;KG: киргизский;UZ: узбекский;Армянский
PANNA;Размер готовой работы указан с учетом припусков на оформление.;Размер готовой работы указан с учетом припусков на оформление.;The size of the embroidery includes framing allowances.;Wymiary gotowego wyrobu podano z uwzgl?dnieniem naddatk?w na ozdobienie.;Дайын ж?мысты? ?лшемі безендіруге ж?мсал?ан ?діптерді ескере отырып, к?рсетілген.;Die Gr??e der fertigen Handarbeit ist unter Ber?cksichtigung der Zugaben f?r Gestaltung bezeichnet.;La taille d’un ouvrage fini est sp?cifi?e compte tenu des surplus pour d?coration.;Las dimensiones indicadas del art?culo acabado incluyen las margenes para la presentaci?n.;Le dimensioni dell’articolo pronto sono specificati con i margini di design inclusi.;Памер гатовай працы пазначаны з улікам прыпускаў на афармленне.;Розмір готової роботи вказано з урахуванням припусків на оформлення.;;Б?тк?н иштин ?лч?м? жасалгалоого чыгымды эске алуу менен к?рс?т?лг?н;Tayyor ish hajmi ro‘yxatga olish bezash uchun bo‘lgan mishablarni hisobga olgan holda ko‘rsatilgan;
Другое;;;;;;;;;;;;;;;
;брадсы;брадсы;brads;?wieki;брадстар;Brads;attaches parisiennes;adjuntados;brads;брадсы;брадси;;брадстар;bradslar;
;фланель;фланель;flannel;flanela;фланель;;flanelle;;;фланель;;;фланель;flanel;
;ткань вискоза;ткань вискоза;fabric viscose;tkanina wiskoza;мата вискоза;;tissu viscose;viscosa;viscosa;тканіна віскоза;;;вискоза кездеме;viskoza mato;
;волокно для валяния (100% вискоза);волокно для валяния (100% вискоза); felting fibres (100% viscose);w??kno do filcowania (100% wiskoza);киiз басу?а арнал?ан талшы? (100% вискоза);faser f?r Filzen (100% Viskose);fibres ? feutrer (100% viscose);fibra para batanadura (100% viscosa);fibra per saldatura (100% viscosa);валакно для валяння (100% віскоза);волокно для валяння (100% віскоза);;кийиз ?ч?н була (100% вискоза);kigiz uchun tolalar (100% viskoza);
;глаза;глаза;eyes;oczy;к?здер;Augen;yeux;ojos;occhi;вочы;очі;;к?зд?р;ko'zlar;
Woolla, гобелены;гребень;гребень;beater;grzebie?;тара?;Kamm;peigne;bord?n;crinale;грэбень;гребінь;;;;
;декоративный элемент;декоративный элемент;embellishment;element dekoracyjny;с?ндік элемент;Schmuckelement;?l?ment d?coratif;elemento decorativo;elemento decorativo;дэкаратыўны элемент;декоративний елемент;;декоративдик элемент;bezak ip;
;декоративные элементы;декоративные элементы;embellishments;element dekoracyjne;с?ндік элементтер;Schmuckelemente;?l?ments d?coratifs;elementos decorativos;elementi decorativi;дэкаратыўныя элементы;декоративні елементи;;декоративдик элемент;;
;деревянная рама;деревянная рама;wooden frame;rama drewniana;а?аштан жасал?ан жа?тау;Holzrahmen;cadre en bois;carcasa de madera;intelaiatura di legno;драўляная рама;дерев'яна рама;;;;
;;;wooden weaving loom;;;;;;;;;;;;
Woolla, гобелены;деревянный держатель;деревянный держатель;wooden hanging rod;uchwyt drewniany;а?аштан жасал?ан ?ста?ыш;Holzhalter;support en bois;soporte de madera;supporto di legno;драўляны трымальнік;дерев'яний тримач;;;;
Woolla, гобелены;деревянный нож;деревянный нож;weaving sword;n?? drewniany;а?аштан жасал?ан пыша?;Holzmesser;couteau en bois;cuchillo de madera;coltello in legno;драўляны нож;дерев'яний ніж;;;;
;застежка для сумки «фермуар»;застежка для сумки «фермуар»;purse frame;zapi?cie do torebki Fermoir;«фермуар» с?мкесіне арнал?ан ілмек;"Taschenverschluss ""Fermoir""";fermeture pour le sac “fermoir”;broche para carteras “fermuar”;fermaglio per borsa;зашпілька для торбы «фермуар»;застібка для сумки «фермуар»;;;;
;застежки для бабочек и галстуков;застежки для бабочек и галстуков;fasteners;zapi?cia do much i krawat?w;к?белек пішінді мойын баулары мен галстуктерге арнал?ан ілгектер;Krawatten- und Schleifenspangen;bouclettes  pour papillons et cravates;broches para lazos y corbatas;elementi di fissaggio per papillon e cravatte;зашпількі для мятлікаў і гальштукаў;застібки для метеликів і краваток;;;;
Ювелирный: http://shop.firma-gamma.ru/opengood/1779563822/#good1779563822;карабин;карабин;clasp;karabinek;карабин;Karabinerverschluss;mousqueton;carabina;moschettone;карабін;карабін;;;;
Пластиковый: http://shop.firma-gamma.ru/opengood/349152921/#good349152921;;;swivel clip;;;;;;;;;;;;
Для сумок: http://shop.firma-gamma.ru/opengood/921529352/#good921529352;;;snap hook;;;;;;;;;;;;
Для брелоков: http://shop.firma-gamma.ru/opengood/1252031742/#good1252031742;;;lanyard clip;;;;;;;;;;;;
Ювелирные: http://shop.firma-gamma.ru/opengood/1779563822/#good1779563822;карабины;карабины;clasp;karabinki;карабин;Karabinerverschl?sse;mousquetons;;moschettoni;карабіны;карабіни;;;;
Пластиковые: http://shop.firma-gamma.ru/opengood/349152921/#good349152921;;;swivel clips;;;;;;;;;;;;
Для сумок: http://shop.firma-gamma.ru/opengood/921529352/#good921529352;;;snap hooks;;;;;;;;;;;;
Для брелоков: http://shop.firma-gamma.ru/opengood/1252031742/#good1252031742;;;lanyard clips;;;;;;;;;;;;
;картон;картон;cardboard;karton;картон;Pappe;сarton;сart?n;сartone;кардон;картон;;картон;karton;
;клеевая сеточка на бумаге;клеевая сеточка на бумаге;hemming web with backing paper;siateczka klejowa na papierze;?а?азда?ы желімді тор;Klebegitter auf Papier;filet adh?sif sur papier;esterillas de cola en papel;rete adesiva su carta;клеявая сетачка на паперы;сітка клейова на папері;;кагаздагы желим торчо;qog'ozga tushirilgan yelim to'r;
